id,customer_id,product,rating,date,comment
13,13,Horizon X1,4,2025-04-12,"Our team uses these for collaborative VR design reviews. The hand tracking is natural and the shared virtual workspace feature works surprisingly well. Occasional firmware updates cause compatibility hiccups with third-party apps."
14,1,SenseField 360,5,2025-04-18,"Added three more units to our simulation lab. The multi-user tracking with sub-millimeter precision is essential for our surgical rehearsal platform. Calibration between units is automatic now after the March firmware update."
15,7,OptiTrack Pro,4,2025-04-22,"Bought a batch for our playtesting focus groups. Eye tracking heatmaps help us identify where players look during gameplay. Wish the sampling rate was higher for fast-paced action sequences but adequate for most genres."
16,43,Horizon X1,4,2025-04-28,works well. no complaints
17,19,HapticGlove V2,5,2025-05-02,"LOVE these gloves!!! The feedback is so realistic my students actually flinch during the cadaver sim lol. Bought 20 more pairs. Only gripe is the charging case is flimsy, already cracked one."
18,21,SenseField 360,3,2025-05-08,"Tracking is good but not $750 good. We got similar results with a DIY setup using 4 OptiTrack Pros for half the cost. Maybe worth it if you need the all-in-one form factor but for a startup budget... idk."
19,32,Horizon X1,,2025-05-14,"Unit arrived with a dead pixel cluster in the upper left quadrant. RMA process took 3 weeks. Replacement works fine but shook our confidence for a bulk enterprise deployment. Withholding rating until we see long-term reliability."
20,35,OptiTrack Pro,4,05/20/2025,"Good for what we need. Eye tracking data feeds into our lesson engagement analytics. Teachers love the attention heatmaps. Setup instructions could be clearer — had our IT guy spend half a day on it."
21,85,Horizon X1,5,2025-05-25,
22,45,SenseField 360,4,2025-06-01,"Great product, terrible onboarding. Took us two weeks and three support calls to get the multi-sensor array calibrated properly. Once it works though the tracking is butter smooth. Please invest in better documentation."
23,68,HapticGlove V2,1,2025-06-05,"DO NOT BUY. Both gloves died within a month. Left glove motor burned out, right glove won't charge. $130 each and they feel like cheap toys. My old DataGlove from 2019 lasted longer. Requesting full refund."
24,71,Horizon X1,4,2025-06-10,"Upgraded from the Horizon S3 — night and day difference. The inside-out tracking finally works in our open-plan office without external sensors. Lens clarity is exceptional. Would rate 5 stars but the controller ergonomics are worse than the S3 somehow??"
25,56,OptiTrack Pro,3,2025-06-14,"meh. its fine for basic gaze tracking. we needed more granular pupil dilation data for our UX research and had to buy the $200 software addon which should really be included at this price point"
26,82,Horizon X1,5,2025-06-19,"10/10 no notes. Best headset on the market for spatial computing. We're building our entire product around it."
27,76,HapticGlove V2,4,2025-06-23,"Solid upgrade from V1. The individual finger actuation is much improved. We use these in our marine biology VR experience and visitors love ""touching"" the coral reef. Had to replace one pair due to water damage from a spill though — not water resistant at all despite the marketing implying otherwise."
28,90,SenseField 360,5,2025-06-28,"Installed in our new motion capture studio last month. Calibration was painless with the updated firmware (v3.2.1). Running 8 simultaneous subjects with zero dropout. This system paid for itself in the first week of client bookings."
29,,Horizon X1,4,2025-07-03,"Really enjoying this headset for our VR therapy sessions. Patients report high comfort levels even during 45-minute exposure therapy sessions. The face gasket material is hypoallergenic which was a key requirement for clinical use."
30,92,OptiTrack Pro,2,2025-07-08,"Disappointed. Bought this specifically for the advertised 240Hz sampling rate but it only hits that in ""lab mode"" which disables half the features. Real-world performance is closer to 120Hz. Feels like false advertising tbh."
31,97,HapticGlove V2,4,2025-07-12,good gloves. work as advertised. finger tracking is solid and battery lasts about 6hrs continuous. wish they came in more sizes - medium is too small and large is too big for my hands lol
32,58,Horizon X1,5,2025-07-17,"
Just wrapped a 6-month deployment across our R&D division (12 headsets). Zero hardware failures. The enterprise management console lets IT push firmware updates remotely which is a HUGE time saver.

Only negative: the included carrying cases are garbage. We bought Pelican cases separately.

Would recommend for any serious enterprise deployment."
33,47,SenseField 360,3,2025-07-22,"Returned one of our two units. Unit A works perfectly. Unit B has persistent drift in the Z-axis that three firmware resets haven't fixed. Quality control seems inconsistent for a $750 product. Keeping Unit A, rating reflects the average experience."
34,5,Horizon X1,5,2025-07-28,"Second review — we bought 10 more for our expanded campus. Everything I said in my February review still holds. Battery life has actually improved with recent firmware. Our faculty are now fighting over headset time, which I guess is a good problem to have."
35,39,HapticGlove V2,4,2025-08-02,"Solid for training simulations. Our operators practice valve manipulation in VR before touching real equipment. The force feedback is convincing enough that muscle memory transfers to the real task. A few firmware crashes per week but nothing a restart doesn't fix."
36,80,OptiTrack Pro,5,2025-08-07,"Finally a competitor to Tobii that doesn't require a PhD to set up. Plug and play with our Unity pipeline. Data quality is publication-grade — we've already submitted two papers using OptiTrack Pro data. Highly recommend for academic research."
37,101,Horizon X1,4,2025-08-12,"Great for our after-school VR club! Kids love it. The guardian boundary system gives us peace of mind in a classroom setting. Wish there were more edu-specific apps in the store though. We end up sideloading a lot."
38,42,SenseField 360,N/A,2025-08-16,"Haven't fully tested yet — still waiting on the mounting brackets that were backordered. Initial power-on and basic tracking test looked promising. Will update review once fully installed."
39,86,HapticGlove V2,5,2025-08-21,"These are the real deal. We integrate them with our custom surgical simulation platform and the feedback fidelity is remarkable for the price. Surgeons in training can feel tissue resistance differences. Published our validation study last month — happy to share."
40,16,Horizon X1,4,2025-08-26,Good headset. enterprise support team is responsive. had an issue with the left display flickering and they overnighted a replacement. docking for one star because it happened in the first place on a $500 device
41,72,OptiTrack Pro,3,2025-08-30,"Works okay. The eye tracking is accurate but the software UI looks like it was designed in 2015. Export options are limited (CSV only, no JSON or direct API). For a 'Pro' product the workflow feels amateur. Hardware is solid though."
42,23,HapticGlove V2,5,2025-09-04,"Our students absolutely love these! We use them in our immersive history program — they can ""feel"" artifacts in virtual museum tours. The haptic library API is well documented and our dev team had custom interactions running within a day."
43,55,SenseField 360,4,2025-09-09,"Upgraded from the SenseField 180 and the coverage difference is immediately obvious. Full room tracking without dead zones. The only issue is the base stations run HOT — seriously hot to the touch. Concerned about longevity and fire safety in an unattended server room."
44,33,Horizon X1,5,2025-09-14,"Third order from MedSim. At this point we're standardized on Horizon X1 across all our simulation centers. Consistency between units is excellent. The new hand tracking firmware (v2.4) is noticeably more responsive than what shipped originally."
45,84,OptiTrack Pro,4,2025-09-19,does what it says on the tin. eye tracking for VR. we use it. it works. support is good when we need them. 4 stars.
46,61,Horizon X1,3,2025-09-24,"EDIT: dropping from 4 to 3 stars. The latest firmware update (v4.1.2) broke our custom Unity integration that was working perfectly for months. Now we have to choose between rolling back firmware (losing new features) or rewriting our integration layer. Enterprise customers should NOT be beta testers for firmware updates."
47,37,HapticGlove V2,4,2025-09-29,"We tested these against StretchSense and ManusVR gloves. HapticGlove V2 wins on price/performance ratio easily. Tracking accuracy is within 2mm of StretchSense at 1/3 the cost. Build quality is a tier below but acceptable for non-clinical applications."
48,78,SenseField 360,5,2025-10-04,"Outstanding. We run 12-hour motion capture sessions for film production and the system hasn't dropped a frame. The real-time visualization in the companion app helps our directors make blocking decisions on set. Already recommended to three other studios."
49,110,Horizon X1,4,2025-10-09,"4/5. Not bad for the price. We use them for VR onboarding at our startup and new hires love the immersive tour. The built-in mic quality surprised us — good enough for spatial audio meetings. Strap system could use work, lots of adjusting."
50,7,OptiTrack Pro,3,2025-10-14,"Buying a second round for our expanded QA team. First batch has been reliable but I'm docking a star this time because the price went up $50 since our last order in March with zero new features. Not cool."
51,93,HapticGlove V2,4,2025-10-19,"Integrates well with our UX research stack. We measure grip force and finger positioning during usability tests. The raw data stream is clean and well-structured. Only complaint: no Linux support for the calibration tool. Had to set up a Windows VM just for that."
52,62,SenseField 360,4,2025-10-24,"Works great for our adaptive PE program. Students with mobility challenges can participate in virtual sports with full body tracking. The system is sensitive enough to capture subtle movements which is critical for progress tracking in physical therapy contexts."
53,99,Horizon X1,5,2025-10-29,"Our pathology department is blown away. Virtual tissue examination at 8K resolution is approaching the quality of actual microscopy for teaching purposes. This could genuinely reduce our need for cadaver specimens. Revolutionary."
54,88,HapticGlove V2,3,2025-11-03,"Decent but not great for small hands. I'm a woman with small hands and even the S size is loose. The finger tracking loses accuracy when the glove doesn't fit snugly. Haptic feedback is impressive when it works but fit is everything with these. Please make an XS."
55,46,OptiTrack Pro,4,2025-11-07,"We use these across our research hospital's four VR therapy rooms. Eye tracking helps us measure patient engagement during PTSD exposure therapy. Data has been invaluable for treatment planning. Wish the battery indicator was more accurate — it jumps from 30% to dead with no warning."
56,69,Horizon X1,4,2025-11-12,yep its good. using it for our UX lab. hand tracking works. passthrough works. it's a headset. it does headset things. 4 stars because nothing is perfect.
57,51,SenseField 360,2,2025-11-17,"Second unit failed. Same Z-axis drift issue I reported on my first unit (see review #33). At this point I think there's a systemic hardware defect in the Z-axis accelerometer. Support offered a replacement but I've"
